Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id
2022,IEEE Transactions on Wireless Communications,Energy-efficient Cooperative Offloading for Edge Computing-enabled Vehicular Networks,"Hewon Cho, Ying Cui, Jemin Lee",Hewon Cho,English,"Edge computing technology has great potential to improve various computation-intensive applications in vehicular networks by providing sufficient computation resources for vehicles. However, inappropriate task offloading to roadside units (RSUs) can lead to large energy consumption, which will result in negative economic, environmental, and performance impacts. Therefore, in this paper, we develop the energy-efficient cooperative offloading scheme for edge computing-enabled vehicular networks. We first establish a novel cooperative offloading model to multiple RSUs for given batch of moving vehicles, different from existing works that consider single vehicle only or static users. Then, we consider the total energy minimization by optimizing the task splitting ratio, computation resource, and communication resource, which is a challenging non-convex problem, and provide optimal solutions for multi-vehicle …",Article,https://ieeexplore.ieee.org/abstract/document/9814973/,15,cho2022energy
2021,IEEE Transactions on Image Processing 30,"Adaptive Streaming of 360 Videos with Perfect, Imperfect, and Unknown FoV Viewing Probabilities in Wireless Networks","Lingzhi Zhao, Ying Cui, Zhi Liu, Yunfei Zhang, Sheng Yang",Lingzhi Zhao,English,"This paper investigates adaptive streaming of one or multiple tiled 360 videos from a multi-antenna base station (BS) to one or multiple single-antenna users, respectively, in a multi-carrier wireless system. We aim to maximize the video quality while keeping rebuffering time small via encoding rate adaptation at each group of pictures (GOP) and transmission adaptation at each (transmission) slot. To capture the impact of field-of-view (FoV) prediction, we consider three cases of FoV viewing probability distributions, i.e., perfect, imperfect, and unknown FoV viewing probability distributions, and use the average total utility, worst average total utility, and worst total utility as the respective performance metrics. In the single-user scenario, we optimize the encoding rates of the tiles, encoding rates of the FoVs, and transmission beamforming vectors for all subcarriers to maximize the total utility in each case. In the multi-user …",Article,https://ieeexplore.ieee.org/abstract/document/9503325/,14,zhao2021adaptive
2020,2020 IEEE Wireless Communications and Networking Conference (WCNC),ML estimation and MAP estimation for device activities in grant-free random access with interference,"Dongdong Jiang, Ying Cui",Dongdong Jiang,English,"Device activity detection is one main challenge in grant-free random access, which is recently proposed to support massive access for massive machine-type communications (mMTC). Existing solutions fail to consider interference generated by massive Internet of Things (IoT) devices, or important prior information on device activities and interference. In this paper, we consider device activity detection at an access point (AP) in the presence of interference generated by massive devices from other cells. We consider the joint maximum likelihood (ML) estimation and the joint maximum a posterior probability (MAP) estimation of both the device activities and interference powers, jointly utilizing tools from probability, stochastic geometry and optimization. Each estimation problem is a difference of convex (DC) programming problem, and a coordinate descent algorithm is proposed to obtain a stationary point. The …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9120542/,13,jiang2020ml
2021,IEEE Transactions on Wireless Communications,Robust Optimization of Instantaneous Beamforming and Quasi-static Phase Shifts in an IRS-assisted Multi-Cell Network,"Yuhang Jia, Ying Cui, Wuyang Jiang",Yuhang Jia,English,"The impacts of channel estimation errors, inter-cell interference, phase adjustment cost, and computation cost on an intelligent reflecting surface (IRS)-assisted system are severe in practice but have been ignored for simplicity in most existing works. In this paper, we investigate a multi-antenna base station (BS) serving a single-antenna user with the help of a multi-element IRS in a multi-cell network with inter-cell interference. We consider imperfect channel state information (CSI) at the BS, i.e., imperfect CSIT, and focus on the robust optimization of the BS’s instantaneous CSI-adaptive beamforming and the IRS’s quasi-static phase shifts in two scenarios. In the scenario of coding over many slots, we formulate a robust optimization problem to maximize the user’s ergodic rate. In the scenario of coding within each slot, we formulate a robust optimization problem to maximize the user’s average goodput under the …",Article,https://ieeexplore.ieee.org/abstract/document/9632613/,11,jia2021robust
2020,2020 IEEE International Conference on Communications Workshops (ICC …,Energy-Efficient Computation Task Splitting for Edge Computing-Enabled Vehicular Networks,"Hewon Cho, Ying Cui, Jemin Lee",Hewon Cho,English,"In this paper, we develop the energy-efficient resource allocation scheme for an edge computing-enabled vehicular network. We first introduce the novel prescheduled task splitting and offloading scheme, which splits the vehicle's task into several subtasks and offloads to multiple road side units (RSUs), located ahead along the route. We then formulate the energy minimization problem subject to the communication performance and computation capabilities of the RSUs, and the deadline constraints to optimally split the task and allocate resources at the RSUs. We show that the optimization problem is a convex optimization problem and derive the closed form optimal solutions for the task splitting, the transmission power allocation, the CPU frequency allocation, and the transmission time allocation. Finally, through numerical results, by analyzing the impact of network parameters on the total energy consumption, we …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9145345/,11,cho2020energy
2022,IEEE Transactions on Wireless Communications,Statistical device activity detection for OFDM-based massive grant-free access,"Wuyang Jiang, Yuhang Jia, Ying Cui",Wuyang Jiang,English,"Existing works on grant-free access, proposed to support massive machine-type communication (mMTC) for the Internet of Things (IoT), mainly concentrate on narrow band systems under flat fading. In contrast, this paper investigates massive grant-free access in a wideband system under frequency-selective fading. First, we present an orthogonal frequency division multiplexing (OFDM)-based massive grant-free access scheme. Then, we propose two different but equivalent models for the received pilot signal. Specifically, one directly models the received signal for actual devices, whereas the other can be interpreted as a signal model for virtual devices. The two signal models are insightful and essential for designing various device activity detection and channel estimation methods for OFDM-based massive grant-free access. Next, we systematically investigate statistical device activity detection under frequency …",Article,https://ieeexplore.ieee.org/abstract/document/9954423/,10,jiang2022statistical
2022,IEEE Transactions on Wireless Communications,An optimization framework for general rate splitting for general multicast,"Lingzhi Zhao, Ying Cui, Sheng Yang, Shlomo Shamai Shitz",Lingzhi Zhao,English,"Immersive video, such as virtual reality (VR) and multi-view videos, is growing in popularity. Its wireless streaming is an instance of general multicast, extending conventional unicast and multicast, whose effective design is still open. This paper investigates general rate splitting for general multicast. Specifically, we consider a multi-carrier single-cell wireless network where a multi-antenna base station (BS) communicates to multiple single-antenna users via general multicast. We consider linear beamforming at the BS and joint decoding at each user in the slow fading and fast fading scenarios. In the slow fading scenario, we consider the maximization of the weighted sum average rate, which is a challenging nonconvex stochastic problem with numerous variables. To reduce computational complexity, we decouple the original nonconvex stochastic problem into multiple nonconvex deterministic problems, one for …",Article,https://ieeexplore.ieee.org/abstract/document/9894271/,10,zhao2022optimization
2020,IEEE Transactions on Communications,Joint Optimization of File Placement and Delivery in Cache-Assisted Wireless Networks with Limited Lifetime and Cache Space,"Bojie Lv, Rui Wang, Ying Cui, Yi Gong, Haisheng Tan",Bojie Lv,English,"In this paper, the scheduling of downlink file transmission in one cell with the assistance of cache nodes with finite cache space is studied. Specifically, requesting users arrive randomly and the base station (BS) reactively multicasts files to the requesting users and selected cache nodes. The latter can offload the traffic in their coverage areas from the BS. We consider the joint optimization of the abovementioned file placement and delivery within a finite lifetime subject to the cache space constraint. Within the lifetime, the allocation of multicast power and symbol number for each file transmission at the BS is formulated as a dynamic programming problem with a random stage number. Note that there are no existing solutions to this problem. We develop an asymptotically optimal solution framework by transforming the original problem to an equivalent finite-horizon Markov decision process (MDP) with a fixed stage …",Article,https://ieeexplore.ieee.org/abstract/document/8959295/,10,lv2020joint
2023,IEEE Transactions on Signal Processing 71,"Joint Device Activity Detection, Channel Estimation and Signal Detection for Massive Grant-Free Access via BiGAMP","Shanshan Zhang, Ying Cui, Wen Chen",Shanshan Zhang,English,"Massive access has been challenging for the fifth generation (5 G) and beyond since the abundance of devices causes communication overload to skyrocket. In an uplink massive access scenario, device traffic is sporadic in any given coherence time. Thus, channels across the antennas of each device exhibit correlation, which can be characterized by the row sparse channel matrix structure. In this work, we develop a bilinear generalized approximate message passing (BiGAMP) algorithm based on the row sparse channel matrix structure. This algorithm can jointly detect device activities, estimate channels, and detect signals in massive multiple-input multiple-output (MIMO) systems by alternating updates between channel matrices and signal matrices. The signal observation provides additional information for performance improvement compared to the existing algorithms. We further analyze state evolution (SE) to …",Article,https://ieeexplore.ieee.org/abstract/document/10091199/,9,zhang2023joint
2022,IEEE Transactions on Wireless Communications,Analysis and optimization of a double-IRS cooperatively assisted system with a quasi-static phase shift design,"Gengfa Ding, Feng Yang, Lianghui Ding, Ying Cui",Gengfa Ding,English,"The analysis and optimization of single intelligent reflecting surface (IRS)-assisted systems have been extensively studied, whereas little is known regarding multiple-IRS-assisted systems. This paper investigates the analysis and optimization of a double-IRS cooperatively assisted downlink system (D-IRS-C), where a multi-antenna base station (BS) serves a single-antenna user with the help of two multi-element IRSs, connected by an inter-IRS channel. The channel between any two nodes is modeled with Rician fading. The BS adopts the instantaneous CSI-adaptive maximum-ratio transmission (MRT) beamformer, and the two IRSs adopt a cooperative quasi-static phase shift design. The goal is to maximize the average achievable rate, which can be reflected by the average channel power of the equivalent channel between the BS and user at low channel estimation and phase adjustment costs and …",Article,https://ieeexplore.ieee.org/abstract/document/9970517/,9,ding2022analysis
2022,IEEE Transactions on Communications,Joint optimization of preamble selection and access barring for random access in MTC with general device activities,"Wang Liu, Ying Cui, Feng Yang, Lianghui Ding, Jun Sun",Wang Liu,English,"Most existing random access schemes for machine-type communications (MTC) simply adopt a uniform preamble selection distribution, irrespective of the underlying device activity distributions. Hence, they may yield unsatisfactory access efficiency. In this paper, we model device activities for MTC as multiple Bernoulli random variables following an arbitrary multivariate Bernoulli distribution which can reflect both dependent and independent device activities. Then, we optimize preamble selection and access barring for random access in MTC according to the underlying joint device activity distribution. Specifically, we investigate three cases of the joint device activity distribution, i.e., the cases of perfect, imperfect, and unknown joint device activity distributions, and formulate the average, worst-case average, and sample average throughput maximization problems, respectively. The problems in the three cases are …",Article,https://ieeexplore.ieee.org/abstract/document/9750057/,8,liu2022joint
2022,IEEE Transactions on Wireless Communications,An optimization framework for federated edge learning,"Yangchen Li, Ying Cui, Vincent Lau",Yangchen Li,English,"The optimal design of federated learning (FL) algorithms for solving general machine learning (ML) problems in practical edge computing systems with quantized message passing remains an open problem. This paper considers an edge computing system where the server and workers have possibly different computing and communication capabilities and employ quantization before transmitting messages. To explore the full potential of FL in such an edge computing system, we first present a general FL algorithm, namely GenQSGD, parameterized by the numbers of global and local iterations, mini-batch size, and step size sequence. Then, we analyze its convergence for an arbitrary step size sequence and specify the convergence results under three commonly adopted step size rules, namely the constant, exponential, and diminishing step size rules. Next, we optimize the algorithm parameters to minimize the …",Article,https://ieeexplore.ieee.org/abstract/document/9866646/,7,li2022optimization
2021,2021 IEEE Global Communications Conference (GLOBECOM),Optimization-based GenQSGD for federated edge learning,"Yangchen Li, Ying Cui, Vincent Lau",Yangchen Li,English,"Optimal algorithm design for federated learning (FL) remains an open problem. This paper explores the full potential of FL in practical edge computing systems where workers may have different computation and communication capabilities, and quantized intermediate model updates are sent between the server and workers. First, we present a general quantized parallel mini-batch stochastic gradient descent (SGD) algorithm for FL, namely GenQSGD, which is parameterized by the number of global iterations, the numbers of local iterations at all workers, and the mini-batch size. We also analyze its convergence error for any choice of the algorithm parameters. Then, we optimize the algorithm parameters to minimize the energy cost under the time constraint and convergence error constraint. The optimization problem is a challenging non-convex problem with non-differentiable constraint functions. We propose an …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9685591/,7,li2021optimization
2020,2020 IEEE Wireless Communications and Networking Conference (WCNC),Jointly sparse signal recovery via deep auto-encoder and parallel coordinate descent unrolling,"Shuaichao Li, Wanqing Zhang, Ying Cui",Shuaichao Li,English,"In this paper, combining techniques in compressed sensing, parallel optimization and deep learning, an autoencoder-based approach is proposed to jointly design the common measurement matrix and jointly sparse signal recovery method for complex sparse signals. The encoder achieves noisy linear compression for jointly sparse signals, with a common measurement matrix. The decoder realizes jointly sparse signal recovery based on an iterative parallel-coordinate descent algorithm which is proposed to solve GROUP LASSO in a parallel manner. In particular, the decoder consists of an approximation part which unfolds (several iterations of) the proposed iterative algorithm to obtain an approximate solution of GROUP LASSO and a correction part which reduces the difference between the approximate solution and the actual jointly sparse signals. To our knowledge, this is the first time that an optimization …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9120752/,7,li2020jointly
2022,IEEE Transactions on Signal Processing 70,Sample-based and feature-based federated learning for unconstrained and constrained nonconvex optimization via mini-batch SSCA,"Ying Cui, Yangchen Li, Chencheng Ye",Ying Cui,English,"Federated learning (FL) has become a hot research area in enabling the collaborative training of machine learning models among multiple clients that hold sensitive local data. Nevertheless, unconstrained federated optimization has been studied mainly using stochastic gradient descent (SGD), which may converge slowly, and constrained federated optimization, which is more challenging, has not been investigated so far. This paper investigates sample-based and feature-based federated optimization, respectively, and considers both unconstrained and constrained nonconvex problems for each of them. First, we propose FL algorithms using stochastic successive convex approximation (SSCA) and mini-batch techniques. These algorithms can adequately exploit the structures of the objective and constraint functions and incrementally utilize samples. We show that the proposed FL algorithms converge to …",Article,https://ieeexplore.ieee.org/abstract/document/9812497/,5,cui2022sample
2020,GLOBECOM 2020-2020 IEEE Global Communications Conference,"Optimal Streaming of 360 VR Videos with Perfect, Imperfect and Unknown FoV Viewing Probabilities","Lingzhi Zhao, Ying Cui, Chengjun Guo, Zhi Liu",Lingzhi Zhao,English,"In this paper, we investigate wireless streaming of multi-quality tiled 360 virtual reality (VR) videos from a multi-antenna server to multiple single-antenna users in a multicarrier system. To capture the impact of field-of-view (FoV) prediction, we consider three cases of FoV viewing probability distributions, i.e., perfect, imperfect and unknown FoV viewing probability distributions, and use the average total utility, worst average total utility and worst total utility as the respective performance metrics. We adopt rate splitting with successive decoding for efficient transmission of multiple sets of tiles of different 360 VR videos to their requesting users. In each case, we optimize the encoding rates of the tiles, minimum encoding rates of the FoVs, rates of the common and private messages and transmission beamforming vectors to maximize the total utility. The problems in the three cases are all challenging nonconvex …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9322648/,5,zhao2020optimal
2020,2020 IEEE 21st International Workshop on Signal Processing Advances in …,MAP-Based Pilot State Detection in Grant-Free Random Access for mMTC,"Dongdong Jiang, Ying Cui",Dongdong Jiang,English,"Device activity detection and joint device activity and data detection (or equivalently, detection of pilots being transmitted) are main challenges in grant-free random access, which is recently proposed to support massive machine-type communications (mMTC). In this paper, we adopt a general and tractable model for distributions of pilot states (being transmitted or not), namely the multivariate Bernoulli (MVB) model, which can explicitly specify general correlation among device activities and relation among the states of pilots assigned to one device. Then, based on the MVB model, we formulate the estimation of pilot states as a maximum a posterior probability (MAP) estimation problem, which is a challenging non-convex problem. We propose a low-complexity coordinate descent algorithm to obtain a stationary point. The proposed MAP estimation enhances the existing maximum likelihood (ML) estimation and MAP …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9154246/,5,jiang2020map
2020,2020 IEEE 21st International Workshop on Signal Processing Advances in …,Jointly sparse support recovery via deep auto-encoder with applications in mimo-based grant-free random access for mmtc,"Wanqing Zhang, Shuaichao Li, Ying Cui",Wanqing Zhang,English,"In this paper, a data-driven approach is proposed to jointly design the common sensing (measurement) matrix and jointly support recovery method for complex signals, using a standard deep auto-encoder for real numbers. The auto-encoder in the proposed approach includes an encoder that mimics the noisy linear measurement process for jointly sparse signals with a common sensing matrix, and a decoder that approximately performs jointly sparse support recovery based on the empirical covariance matrix of noisy linear measurements. The proposed approach can effectively utilize the feature of common support and properties of sparsity patterns to achieve high recovery accuracy, and has significantly shorter computation time than existing methods. We also study an application example, i.e., device activity detection in Multiple-Input Multiple-Output (MIMO)-based grant-free random access for massive machine …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9154280/,5,zhang2020jointly
2022,ICC 2022-IEEE International Conference on Communications,MLE-based Device Activity Detection for Grant-free Massive Access under Frequency Offsets,"Wang Liu, Ying Cui, Feng Yang, Lianghui Ding, Jiyong Xu, Xingchen Xu",Wang Liu,English,"Grant-free access is recently proposed as an essential technique for supporting massive machine-type communications (mMTC) for the Internet of Things (IoT). However, high accuracy and low complexity device activity detection under imperfect frequency synchronization remains open. To address this issue, this paper proposes a maximum likelihood estimation (MLE)- based device activity detection method for the frequency asynchronous case. First, we formulate the estimation of device activities together with the device carrier frequency offsets (CFOs) as an MLE problem. Then, to tackle this challenging nonconvex problem, we propose a computationally efficient iterative algorithm using the block coordinate descent (BCD) method and fast computation enabled by fast Fourier transform (FFT). Analytical and numerical results demonstrate the notable gains of the proposed method over the existing solutions and …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9838874/,4,liu2022mle
2021,ICC 2021-IEEE International Conference on Communications,Sample-based Federated Learning via Mini-batch SSCA,"Chencheng Ye, Ying Cui",Chencheng Ye,English,"In this paper, we investigate unconstrained and constrained sample-based federated optimization, respectively. For each problem, we propose a privacy preserving algorithm using stochastic successive convex approximation (SSCA) techniques, and show that it can converge to a Karush-Kuhn-Tucker (KKT) point. To the best of our knowledge, SSCA has not been used for solving federated optimization, and federated optimization with nonconvex constraints has not been investigated. Next, we customize the two proposed SSCA-based algorithms to two application examples, and provide closed-form solutions for the respective approximate convex problems at each iteration of SSCA. Finally, numerical experiments demonstrate inherent advantages of the proposed algorithms in terms of convergence speed, communication cost and model specification.",Conference paper,https://ieeexplore.ieee.org/abstract/document/9501004/,4,ye2021sample
2020,GLOBECOM 2020-2020 IEEE Global Communications Conference,Service Caching and Computation Resource Allocation for Large-Scale Edge Computing-Enabled Networks,"Mingun Kim, Hewon Cho, Ying Cui, Jemin Lee",Mingun Kim,English,"In this paper, we consider a large-scale edge computing (EC)-enabled network. We consider multiple latency-sensitive services. We adopt a random service caching scheme and a computation resource allocation scheme at base stations (BSs). We first derive the successful service probability (SSP). Using tools from stochastic geometry and queuing theory, we formulate the SSP maximization problem with respect to (w.r.t.) the service caching distribution and computation resource allocation, which is a challenging non-convex problem due to the complicated form of the SSP. Using parallel successive convex approximation (SCA), we develop an efficient iterative algorithm to obtain a stationary point of the non-convex problem. Finally, by numerical simulations, we show that the proposed solution achieves a higher SSP than the baseline schemes. We also show the impacts of the cache size and service rate of EC …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9322297/,4,kim2020service
2024,IEEE Transactions on Wireless Communications,MLE-based device activity detection under Rician fading for massive grant-free access with perfect and imperfect synchronization,"Wang Liu, Ying Cui, Feng Yang, Lianghui Ding, Jun Sun",Wang Liu,English,"Most existing studies on massive grant-free access, proposed to support massive machine-type communications (mMTC) for the Internet of things (IoT), assume Rayleigh fading and perfect synchronization for simplicity. However, in practice, line-of-sight (LoS) components generally exist, and time and frequency synchronization are usually imperfect. This paper systematically investigates maximum likelihood estimation (MLE)-based device activity detection under Rician fading for massive grant-free access with perfect and imperfect synchronization. We assume that the large-scale fading powers, Rician factors, and normalized LoS components can be estimated offline. We formulate device activity detection in the synchronous case and joint device activity and offset detection in three asynchronous cases (i.e., time, frequency, and time and frequency asynchronous cases) as MLE problems. In the synchronous case …",Article,https://ieeexplore.ieee.org/abstract/document/10413943/,3,liu2024mle
2023,IEEE Transactions on Wireless Communications,Joint service caching and computing resource allocation for edge computing-enabled networks,"Mingun Kim, Hewon Cho, Ying Cui, Jemin Lee",Mingun Kim,English,"In this paper, we consider the service caching and the computing resource allocation in edge computing (EC) enabled networks. We introduce a random service caching design considering multiple types of latency sensitive services and the base stations (BSs)’ service caching storage. We then derive a successful service probability (SSP). We also formulate a SSP maximization problem subject to the service caching distribution and the computing resource allocation. Then, we show that the optimization problem is nonconvex and develop a novel algorithm to obtain the stationary point of the SSP maximization problem by adopting the parallel successive convex approximation (SCA). Moreover, to further reduce the computational complexity, we also provide a low complex algorithm that can obtain the near-optimal solution of the SSP maximization problem in high computing capability region. Finally, from numerical …",Article,https://ieeexplore.ieee.org/abstract/document/10151798/,3,kim2023joint
