Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi
2021,Advances in Neural Information Processing Systems 34,Pareto-optimal learning-augmented algorithms for online conversion problems,"Bo Sun, Russell Lee, Mohammad Hajiesmaili, Adam Wierman, Danny Tsang",Bo Sun,English,"This paper leverages machine-learned predictions to design competitive algorithms for online conversion problems with the goal of improving the competitive ratio when predictions are accurate (ie, consistency), while also guaranteeing a worst-case competitive ratio regardless of the prediction quality (ie, robustness). We unify the algorithmic design of both integral and fractional conversion problems, which are also known as the 1-max-search and one-way trading problems, into a class of online threshold-based algorithms (OTA). By incorporating predictions into design of OTA, we achieve the Pareto-optimal trade-off of consistency and robustness, ie, no online algorithm can achieve a better consistency guarantee given for a robustness guarantee. We demonstrate the performance of OTA using numerical experiments on Bitcoin conversion.",Article,https://proceedings.neurips.cc/paper_files/paper/2021/hash/55a988dfb00a914717b3000a3374694c-Abstract.html
2022,IEEE Transactions on Wireless Communications,IRS assisted NOMA aided mobile edge computing with queue stability: Heterogeneous multi-agent reinforcement learning,"Jiadong Yu, Yang Li, Xiaolan Liu, Bo Sun, Yuan Wu, Danny Hin-Kwok Tsang",Jiadong Yu,English,"By employing powerful edge servers for data processing, mobile edge computing (MEC) has been recognized as a promising technology to support emerging computation-intensive applications. Besides, non-orthogonal multiple access (NOMA)-aided MEC system can further enhance the spectral efficiency with massive tasks offloading. However, with more dynamic devices brought online and the uncontrollable stochastic channel environment, it is even desirable to deploy appealing technique, i.e., intelligent reflecting surfaces (IRS), in the MEC system to flexibly tune the communication environment and improve the system energy efficiency. In this paper, we investigate the joint offloading, communication and computation resource allocation for the IRS-assisted NOMA MEC system. We first formulate a mixed integer energy efficiency maximization problem with system queue stability constraint. We then propose …",Article,https://ieeexplore.ieee.org/abstract/document/9968198/
2020,IEEE Transactions on Smart Grid,Aggregation of demand-side flexibility in electricity markets: Negative impact analysis and mitigation method,"Su Wang, Xiaoqi Tan, Tian Liu, Danny HK Tsang",Su Wang,English,"Aggregation of demand-side flexibility plays a crucial role in helping improve the system-wide performance of power grids. However, little considered is the potential negative impact of self-interested flexibility aggregators, who are being strategic for their own benefit at the cost of other market participants or even system-wide performance. This article aims to theoretically analyze this negative impact, as well as propose a corresponding mitigation method. Specifically, we consider a strategic aggregator that derives the optimal bidding strategy of the flexibility bounds (for cumulative energy and instantaneous power consumption) and trades electricity in a pool. A multi-period bi-level program with a DC network setup is considered. The upper-level problem represents the aggregator’s cost minimization, and the lower-level problem represents the market clearing process. Based on this bi-level formulation, our …",Article,https://ieeexplore.ieee.org/abstract/document/9171887/
2023,IEEE Open Journal of the Communications Society 4,Distributed intelligence in wireless networks,"Xiaolan Liu, Jiadong Yu, Yuanwei Liu, Yue Gao, Toktam Mahmoodi, Sangarapillai Lambotharan, Danny Hin-Kwok Tsang",Xiaolan Liu,English,"The cloud-based solutions are becoming inefficient due to considerably large time delays, high power consumption, and security and privacy concerns caused by billions of connected wireless devices and typically zillions of bytes of data they produce at the network edge. A blend of edge computing and Artificial Intelligence (AI) techniques could optimally shift the resourceful computation servers closer to the network edge, which provides the support for advanced AI applications (e.g., video/audio surveillance and personal recommendation system) by enabling intelligent decision making on computing at the point of data generation as and when it is needed, and distributed Machine Learning (ML) with its potential to avoid the transmission of the large dataset and possible compromise of privacy that may exist in cloud-based centralized learning. Besides, the deployment of AI techniques to redesign end-to-end …",Article,https://ieeexplore.ieee.org/abstract/document/10100930/
2021,IEEE Systems Journal,Energy-efficient resource allocation and subchannel assignment for NOMA-enabled multiaccess edge computing,"Lina Liu, Bo Sun, Xiaoqi Tan, Danny HK Tsang",Lina Liu,English,"In this article, we study an energy-efficient nonorthogonal multiple access (NOMA) enabled multiaccess edge computing (MEC) system with strict latency requirements. We aim to minimize the energy consumption of all users by optimizing the resource allocation (including power and computation resources) and subchannel assignment, subject to the given latency constraint. The formulated problem, however, is a nonconvex combinatorial optimization problem. Nevertheless, we decompose the problem into a resource allocation subproblem and a subchannel assignment subproblem, and then solve the two subproblems iteratively. On one hand, we investigate the hidden convexity of the resource allocation subproblem under the optimal conditions, and propose an efficient algorithm to optimally allocate the resources by dual decomposition methods. On the other hand, we formulate the subchannel assignment …",Article,https://ieeexplore.ieee.org/abstract/document/9393794/
2024,IEEE Internet of Things Magazine,Bi-directional digital twin and edge computing in the metaverse,"Jiadong Yu, Ahmad Alhilal, Pan Hui, Danny HK Tsang",Jiadong Yu,English,"The Metaverse has emerged to extend our lifestyle beyond physical limitations. As essential components in the Metaverse, digital twins (DTs) are the real-time digital replicas of physical items. Multi-access edge computing (MEC) provides responsive services to the end users, ensuring an immersive and interactive Metaverse experience. While the digital representation (DT) of physical objects, end users, and edge computing systems is crucial in the Metaverse, the construction of these DTs and the interplay between them have not been well-investigated. In this article, we discuss the bidirectional reliance between the DT and the MEC system and investigate the creation of DTs of objects and users on the MEC servers and DT-assisted edge computing (DTEC). To ensure seamless handover among MEC servers and to avoid intermittent Metaverse services, we also explore the interaction between local DTECs on …",Article,https://ieeexplore.ieee.org/abstract/document/10517506/
2020,2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture …,A benchmarking framework for interactive 3d applications in the cloud,"Tianyi Liu, Sen He, Sunzhou Huang, Danny Tsang, Lingjia Tang, Jason Mars, Wei Wang",Tianyi Liu,English,"With the growing popularity of cloud gaming and cloud virtual reality (VR), interactive 3D applications have become a major class of workloads for the cloud. However, despite their growing importance, there is limited public research on how to design cloud systems to efficiently support these applications due to the lack of an open and reliable research infrastructure, including benchmarks and performance analysis tools. The challenges of generating human-like inputs under various system/application nondeterminism and dissecting the performance of complex graphics systems make it very difficult to design such an infrastructure. In this paper, we present the design of a novel research infrastructure, Pictor, for cloud 3D applications and systems. Pictor employs AI to mimic human interactions with complex 3D applications. It can also track the processing of user inputs to provide in-depth performance measurements …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9251945/
2022,Proceedings of the ACM on Measurement and Analysis of Computing Systems 6 (3 …,The online knapsack problem with departures,"Bo Sun, Lin Yang, Mohammad Hajiesmaili, Adam Wierman, John CS Lui, Don Towsley, Danny HK Tsang",Bo Sun,English,"The online knapsack problem is a classic online resource allocation problem in networking and operations research. Its basic version studies how to pack online arriving items of different sizes and values into a capacity-limited knapsack. In this paper, we study a general version that includes item departures, while also considering multiple knapsacks and multi-dimensional item sizes. We design a threshold-based online algorithm and prove that the algorithm can achieve order-optimal competitive ratios. Beyond worst-case performance guarantees, we also aim to achieve near-optimal average performance under typical instances. Towards this goal, we propose a data-driven online algorithm that learns within a policy-class that guarantees a worst-case performance bound. In trace-driven experiments, we show that our data-driven algorithm outperforms other benchmark algorithms in an application of online …",Article,https://dl.acm.org/doi/abs/10.1145/3570618
2021,IEEE Transactions on Sustainable Energy,Real-time coordination of transmission and distribution networks via nash bargaining solution,"Su Wang, Bo Sun, Xiaoqi Tan, Tian Liu, Danny HK Tsang",Su Wang,English,"The two-settlement electricity markets are widely accepted. In current practice, the markets are cleared based on locational marginal prices. However, this market clearing scheme leaves arbitrage opportunities between day-ahead and real-time markets for strategic distribution system operators (DSOs). They can submit biased bids from their actual load forecasts in the day-ahead market for additional benefits. Worse still, due to the high penetration of distributed energy resources, the impact of such strategic behaviors becomes increasingly severe as the uncertainties in DSOs’ load forecasts increase. In this paper, we first identify the profitable arbitrage opportunities of DSOs and the impact of uncertainties by a simplified analytical model. We then propose a Nash bargaining solution based market clearing scheme for real-time coordination between the transmission system operator and the DSOs. This scheme …",Article,https://ieeexplore.ieee.org/abstract/document/9448385/
2021,IEEE Transactions on Intelligent Transportation Systems,Dynamic pricing mechanism design for electric mobility-on-demand systems,"Liang Ni, Bo Sun, Su Wang, Danny HK Tsang",Liang Ni,English,"With the popularization of ride-sharing transportation and increasing penetration of electric vehicles (EVs) in recent years, the electric mobility-on-demand (EMoD) system is emerging as a promising means to provide ride-sharing services in the context of sustainable cities. In this paper, we focus on sequential decision-making for the operator of an EMoD system by considering both the passengers’ utility and system revenue. Specifically, we design a pricing mechanism to incentivize passengers with spatially and temporally different demand to make different mobility choices. After the passengers’ demand is realized, the operator makes operational decisions, including dispatching and repositioning EVs between service regions, and recharging EVs to maintain their energy levels. Therefore, a bi-level and dynamic programming problem is formulated to model these decisions. To solve this problem, we first transform …",Article,https://ieeexplore.ieee.org/abstract/document/9514363/
2020,Proceedings of the Eleventh ACM International Conference on Future Energy …,ORC: An online competitive algorithm for recommendation and charging schedule in electric vehicle charging network,"Bo Sun, Tongxin Li, Steven H Low, Danny HK Tsang",Bo Sun,English,"There is an increasing need for spatial and temporal schedule tailored to the requests and preferences of electric vehicles (EVs) in a network of charging stations. From the perspective of a charging network operator, this paper considers an online decision-making problem that recommends charging stations and the corresponding energy prices to sequential EV arrivals, and schedules the charging allocation to maximize the expected total revenue. To address the uncertainties from future EV arrivals and EVs' choices with respective to recommendations, we propose an Online Recommendation and Charging schedule algorithm (ORC) that is parameterized by a value function for customized designs. Under the competitive analysis framework, we provide a sufficient condition on the value function that can guarantee ORC to be online competitive. Moreover, we design a customized value function based on the …",Conference paper,https://dl.acm.org/doi/abs/10.1145/3396851.3397727
2021,Abstract Proceedings of the 2021 ACM SIGMETRICS/International Conference on …,Competitive algorithms for the online multiple knapsack problem with application to electric vehicle charging,"Bo Sun, Ali Zeynali, Tongxin Li, Mohammad Hajiesmaili, Adam Wierman, Danny HK Tsang",Bo Sun,English,"We introduce and study a general version of the fractional online knapsack problem with multiple knapsacks, heterogeneous constraints on which items can be assigned to which knapsack, and rate-limiting constraints on the assignment of items to knapsacks. This problem generalizes variations of the knapsack problem and of the one-way trading problem that have previously been treated separately, and additionally finds application to the real-time control of electric vehicle (EV) charging. We introduce a new algorithm that achieves a competitive ratio within an additive factor of the best achievable competitive ratios for the general problem and matches or improves upon the best-known competitive ratio for special cases in the knapsack and one-way trading literatures. Moreover, our analysis provides a novel approach to online algorithm design based on an instance-dependent primal-dual analysis that connects …",Conference paper,https://dl.acm.org/doi/abs/10.1145/3410220.3456271
2020,2020 59th IEEE Conference on Decision and Control (CDC),Optimal online algorithms for one-way trading and online knapsack problems: A unified competitive analysis,"Ying Cao, Bo Sun, Danny HK Tsang",Ying Cao,English,"We study two canonical online optimization problems under capacity/budget constraints: the fractional one-way trading problem (OTP) and the integral online knapsack problem (OKP) under an infinitesimal assumption. Under the competitive analysis framework, it is well-known that both problems have the same optimal competitive ratio. However, these two problems are investigated by distinct approaches under separate contexts in the literature. There is a gap in understanding the connection between these two problems and the nature of their online algorithm design. This paper provides a unified framework for the online algorithm design, analysis and optimality proof for both problems. We find that the infinitesimal assumption of the OKP is the key that connects the OTP in the analysis of online algorithms and the construction of worst-case instances. With this unified understanding, our framework shows its …",Conference paper,https://ieeexplore.ieee.org/abstract/document/9303856/
2022,IEEE Transactions on Intelligent Transportation Systems,Mobility and energy management in electric vehicle based mobility-on-demand systems: Models and solutions,"Liang Ni, Bo Sun, Xiaoqi Tan, Danny HK Tsang",Liang Ni,English,"An electric vehicle based mobility-on-demand (EMoD) system provides shared transportation (e.g., car-sharing or ride-sharing) to satisfy customers’ individual mobility demands. It has been recognized as a vital alternative form of transportation between public and private transportations in future sustainable cities. Constrained by the long charging time and limited driving range of EVs, an operator of an EMoD system demands for decision-making models and algorithms to manage the mobility and energy of EVs to best serve customers with least costs. In this paper, we propose a stochastic dynamic program (DP) to model three operational decisions of the EMoD system: i) dispatching EVs to serve mobility demand from customers, ii) repositioning EVs to accommodate the unbalanced mobility demands between service regions, and iii) recharging EVs to maintain their sufficient state-of-charge levels. To handle this …",Article,https://ieeexplore.ieee.org/abstract/document/10004204/
2022,IEEE Transactions on Control of Network Systems,"Online network utility maximization: Algorithm, competitive analysis, and applications","Ying Cao, Bo Sun, Danny HK Tsang",Ying Cao,English,"In this article, we consider an online version of the well-studied network utility maximization problem, where users arrive one by one and a network operator makes irrevocable rate allocation decisions for each user without knowing the details of future arrivals. We propose a threshold-based algorithm and analyze its worst-case performance. We prove that the competitive ratio of the proposed algorithm is logarithmic in the maximum number of links requested by a user. Extensive simulations are conducted to demonstrate the performance advantage of our proposed algorithm in comparison with two state-of-the-art algorithms. In addition, we devise an adaptive implementation of our algorithm with online learning.",Article,https://ieeexplore.ieee.org/abstract/document/9858625/
2024,IEEE Transactions on Wireless Communications,Attention-based QoE-aware digital twin empowered edge computing for immersive virtual reality,"Jiadong Yu, Ahmad Alhilal, Tailin Zhou, Pan Hui, Danny HK Tsang",Jiadong Yu,English,"Metaverse applications such as virtual reality (VR) content streaming, require optimal resource allocation strategies for mobile edge computing (MEC) to ensure a high-quality user experience. In contrast to online reinforcement learning (RL) algorithms, which can incur substantial communication overheads and longer delays, the majority of existing works employ offline-trained RL algorithms for resource allocation decisions in MEC systems. However, they neglect the impact of desynchronization between the physical and digital worlds on the effectiveness of the allocation strategy. In this paper, we tackle this desynchronization using a continual RL (CRL) framework that facilitates the resource allocation dynamically for MEC-enabled VR content streaming. We first design a digital twin-empowered edge computing (DTEC) system and formulate a quality of experience (QoE) maximization problem based on attention …",Article,https://ieeexplore.ieee.org/abstract/document/10486201/
2022,IEEE Transactions on Vehicular Technology,Performance analysis of mobile cloud computing with bursty demand: A tandem queue model,"Bo Sun, Yuxuan Jiang, Yuan Wu, Qiang Ye, Danny HK Tsang",Bo Sun,English,"Resource-constrained end devices can offload computation to backend clouds. The stochastic wireless channel that an end device is connected to can introduce bursty computation demand to the cloud. Specifically, under good channel conditions, a device can transmit more data to the cloud, which consequently yields higher instantaneous computation demand. Conversely, poor channel conditions can result in lower instantaneous demand. The performance indicator for such a mobile cloud computing system is the average of the response time, which is the time span from the arrival of the computation demand at the backend cloud instance to the completion of its execution. The question we target in this paper is how resources should be provisioned for the backend cloud instance to address this bursty computation demand and guarantee a desired quality-of-service (QoS), namely, a user-specified average …",Article,https://ieeexplore.ieee.org/abstract/document/9783145/
2024,IEEE Transactions on Mobile Computing,Understanding and improving model averaging in federated learning on heterogeneous data,"Tailin Zhou, Zehong Lin, Jun Zhang, Danny HK Tsang",Tailin Zhou,English,"Model averaging is a widely adopted technique in federated learning (FL) that aggregates multiple client models to obtain a global model. Remarkably, model averaging in FL yields a superior global model, even when client models are trained with non-convex objective functions and on heterogeneous local datasets. However, the rationale behind its success remains poorly understood. To shed light on this issue, we first visualize the loss landscape of FL over client and global models to illustrate their geometric properties. The visualization shows that the client models encompass the global model within a common basin, and interestingly, the global model may deviate from the basin's center while still outperforming the client models. To gain further insights into model averaging in FL, we decompose the expected loss of the global model into five factors related to the client models. Specifically, our analysis reveals …",Article,https://ieeexplore.ieee.org/abstract/document/10540229/
2023,ACS ES&T Water,Freshwater Microscopic Algae Detection Based on Deep Neural Network with GAN-Based Augmentation for Imbalanced Algal Data,"Benjamin SB Fung, Wang Hin Chan, Irene MC Lo, Danny HK Tsang",Benjamin SB Fung,English,"Identifying and quantifying algal genera in images are crucial for understanding their ecological impact. Algal data are often imbalanced, limiting detection model accuracy. This paper presents a novel data augmentation method using StyleGAN2-ADA to enhance algal image instance segmentation. StyleGAN2-ADA generates artificial single-algal images to address data scarcity and imbalance. We train a Cascaded Mask R-CNN with Swin Transformer on a combined data set of real and artificial multigenera algal images and evaluate performance using the COCO mAP metric. The approach improves bounding box detection performance by 17.9% on all genera and 32.1% on rare genera compared with the baseline model. Additionally, 50% more artificial data yield significant enhancements without excessive artificial data use. The GAN-based augmentation technique shows a performance improvement in both …",Article,https://pubs.acs.org/doi/abs/10.1021/acsestwater.3c00150
2023,IEEE Transactions on Signal Processing 71,Structured Bayesian compression for deep neural networks based on the turbo-VBI approach,"Chengyu Xia, Danny HK Tsang, Vincent KN Lau",Chengyu Xia,English,"With the growth of neural network size, model compression has attracted increasing interest in recent research. As one of the most common techniques, pruning has been studied for a long time. By exploiting the structured sparsity of the neural network, existing methods can prune neurons instead of individual weights. However, in most existing pruning methods, surviving neurons are randomly connected in the neural network without any structure, and the non-zero weights within each neuron are also randomly distributed. Such irregular sparse structure can cause very high control overhead and irregular memory access for the hardware and even increase the neural network computational complexity. In this paper, we propose a three-layer hierarchical prior to promote a more regular sparse structure during pruning. The proposed three-layer hierarchical prior can achieve per-neuron weight-level structured …",Article,https://ieeexplore.ieee.org/abstract/document/10064105/
2022,arXiv preprint arXiv:2209.00399,Optimal regularized online convex allocation by adaptive resolving,"Wanteng Ma, Ying Cao, Danny HK Tsang, Dong Xia",Wanteng Ma,English,,Article,https://scholar.google.com/scholar?cluster=17287334404446575881&hl=en&oi=scholarr
2023,arXiv preprint arXiv:2309.16923,Mode connectivity and data heterogeneity of federated learning,"Tailin Zhou, Jun Zhang, Danny HK Tsang",Tailin Zhou,English,"Federated learning (FL) enables multiple clients to train a model while keeping their data private collaboratively. Previous studies have shown that data heterogeneity between clients leads to drifts across client updates. However, there are few studies on the relationship between client and global modes, making it unclear where these updates end up drifting. We perform empirical and theoretical studies on this relationship by utilizing mode connectivity, which measures performance change (i.e., connectivity) along parametric paths between different modes. Empirically, reducing data heterogeneity makes the connectivity on different paths more similar, forming more low-error overlaps between client and global modes. We also find that a barrier to connectivity occurs when linearly connecting two global modes, while it disappears with considering non-linear mode connectivity. Theoretically, we establish a quantitative bound on the global-mode connectivity using mean-field theory or dropout stability. The bound demonstrates that the connectivity improves when reducing data heterogeneity and widening trained models. Numerical results further corroborate our analytical findings.",Article,https://arxiv.org/abs/2309.16923
2024,Operations Research,Optimal regularized online allocation by adaptive re-solving,"Wanteng Ma, Ying Cao, Danny HK Tsang, Dong Xia",Wanteng Ma,English,"This paper introduces a dual-based algorithm framework for solving the regularized online resource allocation problems, which have potentially nonconcave cumulative rewards, hard resource constraints, and a nonseparable regularizer. Under a strategy of adaptively updating the resource constraints, the proposed framework only requests approximate solutions to the empirical dual problems up to a certain accuracy and yet delivers an optimal logarithmic regret under a locally second-order growth condition. Surprisingly, a delicate analysis of the dual objective function enables us to eliminate the notorious log-log factor in regret bound. The flexible framework renders renowned and computationally fast algorithms immediately applicable, for example, dual stochastic gradient descent. Additionally, an infrequent re-solving scheme is proposed, which significantly reduces computational demands without …",Article,https://pubsonline.informs.org/doi/abs/10.1287/opre.2022.0486
2023,IEEE Transactions on Vehicular Technology,MIMO Ambient Backscatter Communications: Capacity Maximization and Beamforming Optimization,"Wenjing Liu, Shanpu Shen, Danny HK Tsang, Ross Murch",Wenjing Liu,English,"Multiple-input multiple-output (MIMO) ambient backscatter communication (AmBC) systems are investigated in order to develop approaches to achieve power, multiplexing, and diversity gains. These results can be utilized to motivate the development of MIMO AmBC by providing performance bounds on the MIMO AmBC gains. Our approach to the investigation is to reformulate the MIMO AmBC channel model as an accurate linear MIMO channel model. Using this model, we show that the MIMO AmBC received signal is real-valued, hence the dimension of the received signal is halved. In addition, we show that MIMO AmBC has a per antenna constant modulus transmit signal constraint. Therefore, increases in antennas at the Tag provide a power gain in contrast to conventional MIMO systems. Under these constraints, when channel state information at the Reader (CSIR) is available, we provide estimates of …",Article,https://ieeexplore.ieee.org/abstract/document/10171390/
