Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2023,The Visual Computer,A comparative study of oil paintings and Chinese ink paintings on composition,"Zhen-Bao Fan, Yi-Xuan Zhu, Slobodan Markovi?, Kang Zhang",Zhen-Bao Fan,English,"In this study, we compare Western oil paintings and Chinese ink paintings on their composition, by extracting and computing 28 composition features of the paintings, including visual balance and relationships between different regions (segments). Among the extracted segments, we compute average distance and rule-based features based on three layout rules, rule of thirds, golden mean and golden triangle. A total of 2253 paintings including 1138 oil paintings and 1115 Chinese ink paintings are collected. By comparing the results of the features on these paintings, our study investigates the difference and similarity between the two types of paintings on composition. Their composition designs are similar in visual balance and their tendency of composing along two diagonal lines, but are fairly different on many other aspects. For example, oil paintings are inclined to place objects on the bottom horizontal dividing?…",Article,https://link.springer.com/article/10.1007/s00371-022-02408-2,6,fan2023comparative,"Paintings, Composition, Visual Balance, Layout Rules"
2021,The Computer Journal,Coordinate graph grammar for the specification of spatial graphs,"Yufeng Liu, Xiaoqin Zeng, Kang Zhang, Yang Zou",Yufeng Liu,English," As a two-dimensional formal method, graph grammar is widely used in defining various visual programming languages. This paper presents a new graph grammar formalism called coordinate graph grammar (CGG). CGG is extended from the edge-based graph grammar (EGG) by introducing the spatial mechanism into the theoretical framework, which consists of continuous coordinate graph grammar (cCGG) and discrete coordinate graph grammar (dCGG). By combining quantitative and qualitative spatial semantics in one framework, CGG provides strong expressiveness and flexibility for specifying various spatial graphs. This paper focuses on several important issues on the new formalism. First, the theoretical framework of CGG is given. Second, two matching algorithms for cCGG and dCGG are proposed, which use the spatial relationships between nodes to narrow down the search space during parsing?…",Article,https://academic.oup.com/comjnl/article-abstract/64/5/749/5819257,6,liu2021coordinate,"graph grammar, quantitative spatial semantics, qualitative spatial semantics, spatial specification"
2021,Leonardo,The computer-based generation of fonts in the style of Kandinsky,"Kang Zhang, Jinhui Yu",Kang Zhang,English," This article presents a general framework for programmed automatic generation of artistic fonts. By parameterizing various font attributes, such as color and aspect ratio, the authors are able to generate artistically styled fonts in almost unlimited variations to suit any type of design requirement. The authors demonstrate their experiments on generating fonts in an abstract style similar to Kandinsky's, built on a collection of the artist's styled patterns. The approach generates fonts composed of vector strokes and is thus highly scalable, limited only by the computer hardware.",Article,https://direct.mit.edu/leon/article-abstract/54/4/437/97253,5,zhang2021computer,"Chinese Comic Painting, FONG Tse Ka, Bodily Engagement, Bodily Movement, Body Embodiment, Interactive Art"
2023,IEEE Transactions on Learning Technologies,Introducing Massive Open Metaverse Course (MOMC) and Its Enabling Technology,"Kang Zhang, Zhijing Shao, Yun Lu, Ying Yu, Wei Sun, Zeyu Wang",Kang Zhang,English,"As metaverse becomes one of the most popular buzzwords in technology, there is still a lack of support to integrate true metaverse learning experiences in massive open online courses (MOOCs). This article introduces a new framework of massive open metaverse courses (MOMCs) and its major enabling technologies, which add immersive and 3-D learning experiences lacking in MOOCs. It then describes a detailed case study, the President's First Lecture at the Hong Kong University of Science and Technology (Guangzhou), which we consider the world's first true MOMC environment, enabled by the latest volumetric video and related virtual and augmented reality technologies. We describe in detail how this course is created and discuss the major advantages of MOMC over MOOC as well as its current limitations.",Article,https://ieeexplore.ieee.org/abstract/document/10164142/,4,zhang2023introducing,"Immersive learning, massive open metaverse courses (MOMC), massive open online courses (MOOC), metaverse, virtual and augmented reality, volumetric video"
2020,The Visual Computer,Transformation of portraits to Picasso’s cubism style,"Guanyu Lian, Kang Zhang",Guanyu Lian,English, This paper presents an approach to the transformation of portrait photographs to Picasso’s cubism style using deep learning and image processing techniques. We obtain the side-view face by rotating the face model constructed from a frontal portrait image 90 and then replace the left half of the portrait by the side-view face. Our approach is applicable to online transformation of selfie photographs and potentially extendable to broader categories of images and artistic styles.,Article,https://link.springer.com/article/10.1007/s00371-019-01661-2,4,lian2020transformation,"Image processing techniques,Cubism,Generative art ,Deep learning"
2023,arXiv preprint arXiv:2312.01656,The Contemporary Art of Image Search: Iterative User Intent Expansion via Vision-Language Model,"Yilin Ye, Qian Zhu, Shishi Xiao, Kang Zhang, Wei Zeng",Yilin Ye,English,"Image search is an essential and user-friendly method to explore vast galleries of digital images. However, existing image search methods heavily rely on proximity measurements like tag matching or image similarity, requiring precise user inputs for satisfactory results. To meet the growing demand for a contemporary image search engine that enables accurate comprehension of users' search intentions, we introduce an innovative user intent expansion framework. Our framework leverages visual-language models to parse and compose multi-modal user inputs to provide more accurate and satisfying results. It comprises two-stage processes: 1) a parsing stage that incorporates a language parsing module with large language models to enhance the comprehension of textual inputs, along with a visual parsing module that integrates an interactive segmentation module to swiftly identify detailed visual elements within images; and 2) a logic composition stage that combines multiple user search intents into a unified logic expression for more sophisticated operations in complex searching scenarios. Moreover, the intent expansion framework enables users to perform flexible contextualized interactions with the search results to further specify or adjust their detailed search intents iteratively. We implemented the framework into an image search system for NFT (non-fungible token) search and conducted a user study to evaluate its usability and novel properties. The results indicate that the proposed framework significantly improves users' image search experience. Particularly the parsing and contextualized interactions prove useful in allowing users to?…",Article,https://arxiv.org/abs/2312.01656,2,ye2023contemporary,"Image retrieval, Composed retrieval, Vision-language model, Multimodality, Large language model, Digital gallery"
2024,arXiv preprint arXiv:2402.06389,Human Aesthetic Preference-Based Large Text-to-Image Model Personalization: Kandinsky Generation as an Example,"Aven-Le Zhou, Yu-Ao Wang, Wei Wu, Kang Zhang",Aven-Le Zhou,English,"With the advancement of neural generative capabilities, the art community has actively embraced GenAI (generative artificial intelligence) for creating painterly content. Large text-to-image models can quickly generate aesthetically pleasing outcomes. However, the process can be non-deterministic and often involves tedious trial-and-error, as users struggle with formulating effective prompts to achieve their desired results. This paper introduces a prompting-free generative approach that empowers users to automatically generate personalized painterly content that incorporates their aesthetic preferences in a customized artistic style. This approach involves utilizing ``semantic injection'' to customize an artist model in a specific artistic style, and further leveraging a genetic algorithm to optimize the prompt generation process through real-time iterative human feedback. By solely relying on the user's aesthetic evaluation and preference for the artist model-generated images, this approach creates the user a personalized model that encompasses their aesthetic preferences and the customized artistic style.",Article,https://arxiv.org/abs/2402.06389,1,zhou2024human,None
2024,Artificial Life,A survey of recent practice of Artificial Life in visual art,"Zi-Wei Wu, Huamin Qu, Kang Zhang",Zi-Wei Wu,English,"Nowadays, interdisciplinary fields between Artificial Life, artificial intelligence, computational biology, and synthetic biology are increasingly emerging into public view. It is necessary to reconsider the relations between the material body, identity, the natural world, and the concept of life. Art is known to pave the way to exploring and conveying new possibilities. This survey provides a literature review on recent works of Artificial Life in visual art during the past 40 years, specifically in the computational and software domain. Having proposed a set of criteria and a taxonomy, we briefly analyze representative artworks of different categories. We aim to provide a systematic overview of how artists are understanding nature and creating new life with modern technology.",Conference paper,https://ieeexplore.ieee.org/abstract/document/10541961/,1,wu2024survey,"ALife art, generative art, AI art, nature"
2024,arXiv preprint arXiv:2401.17120,PlantoGraphy: Incorporating Iterative Design Process into Generative Artificial Intelligence for Landscape Rendering,"Rong Huang, Hai-Chuan Lin, Chuanzhang Chen, Kang Zhang, Wei Zeng",Rong Huang,English,"Landscape renderings are realistic images of landscape sites, allowing stakeholders to perceive better and evaluate design ideas. While recent advances in Generative Artificial Intelligence (GAI) enable automated generation of landscape renderings, the end-to-end methods are not compatible with common design processes, leading to insufficient alignment with design idealizations and limited cohesion of iterative landscape design. Informed by a formative study for comprehending design requirements, we present PlantoGraphy, an iterative design system that allows for interactive configuration of GAI models to accommodate human-centered design practice. A two-stage pipeline is incorporated: first, concretization module transforms conceptual ideas into concrete scene layouts with a domain-oriented large language model; and second, illustration module converts scene layouts into realistic landscape renderings using a fine-tuned low-rank adaptation diffusion model. PlantoGraphy has undergone a series of performance evaluations and user studies, demonstrating its effectiveness in landscape rendering generation and the high recognition of its interactive functionality.",Article,https://arxiv.org/abs/2401.17120,1,huang2024plantography,"Landscape rendering, large language model, scene graph, generative artificial intelligence"
2023,2023 IEEE VIS Arts Program (VISAP),Body Cosmos: An Immersive Experience Driven by Real-Time Bio-Data,"Rem RunGu Lin, Yongen Ke, Kang Zhang",Rem RunGu Lin,English,"This paper presents “Body Cosmos”, an artwork that creates a symbiotic relationship between the human body and a simulated cosmic environment through volumetric rendering and particle system. Drawing from DICOM data to simulate the human body and nebulae, we create an interactive and dynamic virtual environment. The real-time bio-data of users, collected via heart rate sensors and EEG devices, is integrated into the visualization, fostering a personal engagement and unity within this ‘cosmos.’ Body Cosmos provokes curiosity and expands users’ imagination, and deepens their understanding of life’s macrocosm and microcosm. This exploratory project redefines traditional perceptions of the human body in relation to the universe, creating a unique lens to view selfhood, embodiment, and identity. As we look to the future, the system’s evolution will include incorporation of more bio-data sensors, an?…",Conference paper,https://ieeexplore.ieee.org/abstract/document/10343579/,1,lin2023body,"Virtual reality,Arts and humanities,Visualization,Interaction design"
2023,Leonardo,Shanshui Journey: AI Reproducing the Experience of Chinese “Literati” Ink Paintings,"Aven Le Zhou, Kang Zhang",Aven Le Zhou,English," The authors investigate Chinese “Shanshui” (literally meaning mountain and water), a China-origin and East Asian ink paintings of the natural landscape, through an interactive art installation, entitled “Shanshui Journey.” By examining Shanshui’s philosophy, multiple-moving perspectives, and creation and appreciation practices, the work emphasizes motion in nature, memories, and interactive appreciation. These concepts are realized in a digitized room, where each participant’s motion is captured as a line “sketch” and transformed into an ink painting (i.e., Shanshui) via a custom neural network. Generated paintings are displayed in real-time alongside previous works, collectively termed “Shanshui Memories,” mimicking the handscroll interaction. This new Shanshui approach aims to reproduce the Chinese literati art experience, raising awareness of the cultural heritage.",Article,https://direct.mit.edu/leon/article/doi/10.1162/leon_a_02474/117724,1,zhou2023shanshui,"Chinese calligraphy, naturality, AI art."
2023,Proceedings of the 16th International Symposium on Visual Information?…,"Bitter Data: Bitterness Taste in 100,000 Trouble Data","Yufan Li, Yue Huang, Kang Zhang, Varvara Guljajeva",Yufan Li,English," Our participatory art project, Bitter Data, allows the audience to taste the bitterness of 100,000 trouble data via 11 teapots corresponding to 11 years of data. The bitterness and color of each pot reflect the quantity of trouble data in the corresponding year. By mapping bitterness and color to data quantity, we brew tea with varying tastes and tones. Tasting the tea with multi-sensory feelings allows participants to understand the negative emotions behind the data and how young Chinese have faced troubles in the past 11 years.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3615522.3615574,1,li2023bitter,"data art, data experience, data physicalization, data edibilization, troubles, bitterness, participatory art"
2023,Proceedings of the 16th International Symposium on Visual Information?…,Naturality: A Natural Reflection of Chinese Calligraphy,"Bingyuan Wang, Kang Zhang, Zeyu Wang",Bingyuan Wang,English," We present a machine learning-based interactive video installation powered by CLIP and diffusion models and inspired by the concept of naturality in traditional Chinese calligraphy. The artwork explores contemporary interpretations of this traditional concept through practical methods in Artificial Intelligence Generated Content (AIGC). Technically, the algorithms are based on state-of-the-art perceptual and generative models, incorporating multi-dimensional controls over text-to-image and image-to-image translation; conceptually, this real-time art installation extends the discussion brought by Xu Bing’s pieces Book from the Sky and Square Word Calligraphy. The project explores the possibility of AIGC in bridging human creativity and natural randomness, as well as a shifting creative paradigm enhanced by AI knowledge, perception, and association.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3615522.3615557,1,wang2023naturality,"Chinese calligraphy, naturality, AI art"
2022,Proceedings of the 15th International Symposium on Visual Information?…,"A comparative study of color between abstract paintings, oil paintings and Chinese ink paintings","Zhenbao Fan, Yixuan Zhu, Christine Yan, Yufan Li, Kang Zhang",Zhenbao Fan,English,"Color is one of the fundamental elements of paintings. This paper proposes a set of measurements for color usage in a painting, including basic color elements, color harmony templates, and spatial distribution, characterizing both global and local features of color. Applying the measurements to over 3000 abstract paintings, oil paintings and Chinese ink paintings, we are able to observe the roles of color in the three genres of paintings. We report our findings in details on the effectiveness of these measurements, which may serve as tools for classification of paintings. The work is the first of this kind and points to further investigation of color usage in other forms of art and design.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3554944.3554951,1,fan2022comparative,"Paintings, Aesthetics Assessment, Color Harmony, Color Evaluation"
2020,Journal of Web Engineering,Verification of the Instantiation and Integration of Security Patterns,"Tu Peng, Shuliang Wang, Jing Geng, Qinsi Wang, Yun Yang, Kang Zhang",Tu Peng,English,"As software applications suffer from increasing malicious attacks, security becomes a critically important issue for software development. To avoid security problems and increase efficiency, a large software system design may reuse good security solutions for existing security patterns. While security patterns document expert solutions to common security problems and capture well-examined practices on secure software design, implementing them in a particular context (pattern instantiation) and composing them with other related patterns (pattern integration) are prone to flaws and may break expected security properties. In this paper, we present an approach to verify security patterns instantiation and integration automatically. We offer formal definitions for security pattern instantiation and integration, and establish rules to transform sequence diagrams (representing the behaviors of security patterns) to expressions?…",Article,https://ieeexplore.ieee.org/abstract/document/10251869/,1,peng2020verification,"Software engineering, software safety, software verification"
2024,Leonardo,Cursive Calligraphy in 3d and bio-Ink,"Rem RunGu Lin, You Zhou, Kang Zhang",Rem RunGu Lin,English," This paper presents a generative approach to creating dynamic 3D cursive calligraphy by integrating motion and bio-data captured by EEG and EMG sensors with particle systems driven by vector fields. The artwork created through this method metaphorically and visually represents a calligrapher’s energy, inspired by the traditional concept of qi. The authors use the term bio-ink to describe the visualization technique of this digital sculpture, which uses bio-data as parameters to control the flow and dynamism of the particles. Utilizing Unreal Engine 5, the authors create a dynamic 3D artwork that inspires further investigation into the therapeutic benefits of calligraphy, highlights the potential use of biofeedback in skill development, and paves the way for combining traditional arts with artists’ life-data.",Article,https://direct.mit.edu/leon/article/doi/10.1162/leon_a_02541/121363,0,lin2024cursive,None
2024,arXiv preprint arXiv:2405.02338,Mixed or Misperceived Reality?,"Aven Le Zhou, Lei Xi, Kang Zhang",Aven Le Zhou,English,"""Surrealism Me"" delves into Vil\'em Flusser's critique of media as mediators that often distort human perception of reality through an interactive virtual-embodying MR experience. It examines the obfuscating nature of media and reveals the constructed nature of media-projected realities, prompting a reevaluation of media's role and influence on our perception.",Article,https://arxiv.org/abs/2405.02338,2,steinicke2019misperception,"Media Theory, Ant Farm, Mediated Urbanism, Technology and Culture, Counterculture Movements, Media Interpretation"
2024,arXiv preprint arXiv:2402.10751,Another Body in the World: Flusserian Freedom in Mixed Reality,"Aven Le Zhou, Lei Xi, Kang Zhang",Aven Le Zhou,English,"In Flusserian view of media history, humans often misperceive the world projected by media to be the world itself, leading to a loss of freedom. This paper examines Flusserian Freedom in the context of Mixed Reality (MR) and explores how humans can recognize the obscuration of the world within the media (i.e., MR) and understand their relationship. The authors investigate the concept of playing against apparatus and deliberately alienating the perception of the projected world through an artwork titled ""Surrealism Me."" This artwork enables the user to have another body within MR through interactive and immersive experiences based on the definition of Sense of Embodiment. The purpose of this work is to raise awareness of the domination of media and to approach Flusserian freedom within contemporary technical arrangements.",Article,https://arxiv.org/abs/2402.10751,0,zhou2024another,None
2024,Leonardo,Shanshui Journey: Using AI to Reproduce the Experience of Chinese Literati Ink Paintings,"Aven Le Zhou, Kang Zhang",Aven Le Zhou,English,"The authors investigate Chinese shanshui (literally, “mountain  and water”), ink paintings of the natural landscape, through an  interactive art installation entitled Shanshui Journey. By examining  shanshui’s philosophy, multiple moving perspectives, and creation  and appreciation practices, the work emphasizes motion in nature,  memories, and interactive appreciation. These concepts are realized  in a digitized room, where each participant’s motion is captured as a  line “sketch” and transformed into an ink painting via a custom neural  network. Generated paintings are displayed in real time alongside  previous works, collectively termed Shanshui Memories, mimicking  handscroll interaction. The authors’ approach to shanshui aims to  reproduce the Chinese literati art experience, and to raise awareness of  this cultural heritage.",Article,https://muse.jhu.edu/pub/6/article/929219/summary,0,le2024shanshui,None
2023,SIGGRAPH Asia 2023 Art Papers,Media Interpretation: Revisiting McLuhans' Laws of Media and Ant Farm,"Rem Rungu Lin, Kang Zhang",Rem Rungu Lin,English," This paper reexamines the work of Marshall McLuhan and Ant Farm, highlighting their enduring relevance for contemporary mediated urbanism and architecture. By exploring their historical context, connections, and influences, the authors provide insights for architects and artists navigating the complex interplay between media, technology, and the built environment. The analysis bridges the gap between historical context and contemporary practice, focusing on the motivations, possibilities, and limitations of media interpretation as a critical and creative practice. The paper addresses the pressing questions concerning the future design of architectural spaces and urban forms, ultimately fostering innovative approaches that challenge conventional design thinking",Conference paper,https://dl.acm.org/doi/abs/10.1145/3610591.3616424,0,lin2023media,"paintings, complexity, regression model, visual rhetoric, visual information processing"
2023,arXiv preprint arXiv:2312.01067,Painterly Reality: Enhancing Audience Experience with Paintings through Interactive Art,"Aven Le Zhou, Kang Zhang, David Yip",Aven Le Zhou,English,"Perceiving paintings entails more than merely engaging the audience's eyes and brains; their perceptions and experiences of a painting can be intricately connected with body movement. This paper proposes an interactive art approach entitled ""Painterly Reality"" that facilitates the perception and interaction with paintings in a three-dimensional manner. Its objective is to promote bodily engagement with the painting (i.e., embedded body embodiment and its movement and interaction) to enhance the audience's experience, while maintaining its essence. Unlike two-dimensional interactions, this approach constructs the Painterly Reality by capturing the audience's body embodiment in real-time and embedding into a three-dimensional painterly world derived from a given painting input. Through their body embodiment, the audience can navigate the painterly world and play with the magical realism (i.e., interactive painterly objects), fostering meaningful experiences via interactions. The Painterly Reality is subsequently projected through an Augmented Reality Mirror as a live painting and displayed in front of the audience. Hence, the audience can gain enhanced experiences through bodily engagement while simultaneously viewing and appreciating the live painting. The paper implements the proposed approach as an interactive artwork, entitled ""Everyday Conjunctive,"" with Fong Tse Ka's painting and installs in a local museum, which successfully enhances audience experience through bodily engagement.",Article,https://arxiv.org/abs/2312.01067,0,zhou2023painterly,"dockless bike-sharing, origin-destination data, metaphor, visualization"
2023,Journal of Visualization,"Comparing color usage in abstract, oil, and Chinese ink paintings","YuFan Li, ZhenBao Fan, YiXuan Zhu, Christine Yan, Kang Zhang",YuFan Li,English,"Color is one of the fundamental elements of paintings. This paper proposes a set of measurements for color usage in a painting, including basic color elements, global and local color harmony, and color statistical properties, characterizing color features from both the spatial domain and frequency domain. We also collect a painting set including 1059 abstract paintings, 1012 oil paintings, and 1003 Chinese ink paintings. Applying the measurements to this painting set, we are able to observe the roles of color in the three genres of paintings. We report our findings in detail on the effectiveness of these measurements. Chinese ink paintings are significantly different from abstract and oil paintings in color usage, while abstract paintings emphasize color more than the two other genres. The measurements may serve as tools for the classification of paintings. The work is the first of this kind and points to further?…",Article,https://link.springer.com/article/10.1007/s12650-023-00929-z,0,li2023comparing,"Aesthetics assessment,Color harmony,Color evaluation,Computational aesthetics,Paintings"
2023,arXiv preprint arXiv:2311.13770,Archiving Body Movements: Collective Generation of Chinese Calligraphy,"Aven Le Zhou, Jiayi Ye, Tianchen Liu, Kang Zhang",Aven Le Zhou,English,"As a communication channel, body movements have been widely explored in behavioral studies and kinesics. Performing and visual arts share the same interests but focus on documenting and representing human body movements, such as for dance notation and visual work creation. This paper investigates body movements in oriental calligraphy and how to apply calligraphy principles to stimulate and archive body movements. Through an artwork (Wushu), the authors experiment with an interactive and generative approach to engage the audience's bodily participation and archive the body movements as a compendium of generated calligraphy. The audience assumes the role of both writers and readers; creating (""writing"") and appreciating (""reading"") the generated calligraphy becomes a cyclical process within this infinite ""Book,"" which can motivate further attention and discussions concerning Chinese characters and calligraphy.",Article,https://arxiv.org/abs/2311.13770,0,zhou2023archiving,"Body Movement, Bodily Engagement, Chinese Calligraphy, Chinese Painterly Content, Interactive Art, Generative Art, AI-Generated Painterly Content."
