Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keyword
2021,Journal of Systems Architecture 119,Decentralized and expressive data publish-subscribe scheme in cloud based on attribute-based keyword search,"Qian Xu, Qing Zhang, Bo Yu, Nandi Shi, Changshuai Wang, Wei He",Qian Xu,English,"Data publish-subscribe scheme is a valuable approach to share and retrieve data from cloud platforms selectively. However, the common practice of standard encryption hinders the effective keyword-based data subscription over outsourced data. Attribute-based keyword search (ABKS), which fulfills the functionality of attribute-based encryption and searchable encryption, is a promising cryptographic primitive to construct secure data publish-subscribe scheme. In this paper, for the first time, we propose a decentralized and expressive CP-ABKS scheme with computation outsourcing and collusion resistance. Then we construct a novel data publish-subscribe scheme based on the proposed CP-ABKS to realize secure and flexible data sharing among multiple users. Both the access and subscription policies are expressed with the Linear Secret Sharing Scheme structure that can be derived from any monotonic?¡­",Article,https://www.sciencedirect.com/science/article/pii/S1383762121001892,6,xu2021decentralized,"Data publish-subscribe,Attribute-based keyword search ,Expressive data subscription,Decentralized,Online/offline encryption"
2020,Proceedings of the 28th ACM International Conference on Multimedia,Goldenretriever: A speech recognition system powered by modern information retrieval,"Yuanfeng Song, Di Jiang, Xiaoling Huang, Yawen Li, Qian Xu, Raymond Chi-Wing Wong, Qiang Yang",Yuanfeng Song,English,"Existing Automatic Speech Recognition (ASR) systems usually generate the N-best hypotheses list first, and then rescore them with the language model score and the acoustic model score to find the best one. This procedure is essentially analogous to the working mechanism of modern Information Retrieval (IR) systems, which retrieve a relatively large amount of relevant candidates first, re-rank them, and output the top-N list. Exploiting their commonality, this demonstration proposes a novel system named GoldenRetriever that marries IR with ASR. GoldenRetriever transforms the problem of N-best hypotheses rescoring as a Learning-to-Rescore (L2RS) problem and utilizes a wide range of features beyond the language model score and the acoustic model score. In this demonstration, the audience can experience the great potential of marrying IR with ASR for the first time. GoldenRetriever should inspire more?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3394171.3414392,6,song2020goldenretriever,"N-best rescoring, learning-to-rescore, speech recognition"
2022,arXiv preprint arXiv:2206.13398,An efficient industrial federated learning framework for AIoT: a face recognition application,"Youlong Ding, Xueyang Wu, Zhitao Li, Zeheng Wu, Shengqi Tan, Qian Xu, Weike Pan, Qiang Yang",Youlong Ding,English,"Recently, the artificial intelligence of things (AIoT) has been gaining increasing attention, with an intriguing vision of providing highly intelligent services through the network connection of things, leading to an advanced AI-driven ecology. However, recent regulatory restrictions on data privacy preclude uploading sensitive local data to data centers and utilizing them in a centralized approach. Directly applying federated learning algorithms in this scenario could hardly meet the industrial requirements of both efficiency and accuracy. Therefore, we propose an efficient industrial federated learning framework for AIoT in terms of a face recognition application. Specifically, we propose to utilize the concept of transfer learning to speed up federated training on devices and further present a novel design of a private projector that helps protect shared gradients without incurring additional memory consumption or computational cost. Empirical studies on a private Asian face dataset show that our approach can achieve high recognition accuracy in only 20 communication rounds, demonstrating its effectiveness in prediction and its efficiency in training.",Article,https://arxiv.org/abs/2206.13398,6,ding2022efficient,"artificial intelligence of things (AIoT),federated learning, face recognition, transfer learning"
2021,Proceedings of the Twenty-Ninth International Conference on International?¡­,A de novo divide-and-merge paradigm for acoustic model optimization in automatic speech recognition,"Conghui Tan, Di Jiang, Jinhua Peng, Xueyang Wu, Qian Xu, Qiang Yang",Conghui Tan,English,"Due to the rising awareness of privacy protection and the voluminous scale of speech data, it is becoming infeasible for Automatic Speech Recognition (ASR) system developers to train the acoustic model with complete data as before. In this paper, we propose a novel Divide-and-Merge paradigm to solve salient problems plaguing the ASR field. In the Divide phase, multiple acoustic models are trained based upon different subsets of the complete speech data, while in the Merge phase two novel algorithms are utilized to generate a highquality acoustic model based upon those trained on data subsets. We first propose the Genetic Merge Algorithm (GMA), which is a highly specialized algorithm for optimizing acoustic models but suffers from low efficiency. We further propose the SGD-Based Optimizational Merge Algorithm (SOMA), which effectively alleviates the efficiency bottleneck of GMA and maintains superior performance. Extensive experiments on public data show that the proposed methods can significantly outperform the state-of-the-art.",Conference paper,https://www.ijcai.org/proceedings/2020/0513.pdf,5,tan2021novo,"Automatic Speech Recognition (ASR), acoustic model, Divide-and-Merge paradigm"
2020,Database Systems for Advanced Applications: 25th International Conference?¡­,Federated acoustic model optimization for automatic speech recognition,"Conghui Tan, Di Jiang, Huaxiao Mo, Jinhua Peng, Yongxin Tong, Weiwei Zhao, Chaotao Chen, Rongzhong Lian, Yuanfeng Song, Qian Xu",Conghui Tan,English," Traditional Automatic Speech Recognition (ASR) systems are usually trained with speech records centralized on the ASR vendor¡¯s machines. However, with data regulations such as General Data Protection Regulation (GDPR) coming into force, sensitive data such as speech records are not allowed to be utilized in such a centralized approach anymore. In this demonstration, we propose and show the method of federated acoustic model optimization in order to solve this problem. This demonstration does not only vividly show the underlying working mechanisms of the proposed method but also provides an interface for the user to customize its hyperparameters. With this demonstration, the audience can experience the effect of federated learning in an interactive fashion and we wish this demonstration would inspire more research on GDPR-compliant ASR technologies.",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-59419-0_54,5,tan2020federated,"federated learning, speech recognition, adaptive training, LVCSR, GDPR"
2020,CoRR,Graph random neural network,"Wenzheng Feng, Jie Zhang, Yuxiao Dong, Yu Han, Huanbo Luan, Qian Xu, Qiang Yang, Jie Tang",Wenzheng Feng,English,"Graph neural networks (GNNs) have generalized deep learning methods into graph-structured data with promising performance on graph mining tasks. However, existing GNNs often meet complex graph structures with scarce labeled nodes and suffer from the limitations of non-robustness [51, 53], over-smoothing [8, 29, 30], and overfitting [19, 30]. To address these issues, we propose a simple yet effective GNN framework¡ªGraph Random Neural Network (Grand). Different from the deterministic propagation in existing GNNs, Grand adopts a random propagation strategy to enhance model robustness. This strategy also naturally enables Grand to decouple the propagation from feature transformation, reducing the risks of over-smoothing and overfitting. Moreover, random propagation acts as an efficient method for graph data augmentation. Based on this, we propose the consistency regularization for Grand by leveraging the distributional consistency of unlabeled nodes in multiple augmentations, improving the generalization capacity of the model. Extensive experiments on graph benchmark datasets suggest that Grand significantly outperforms state-of-the-art GNN baselines on semi-supervised graph learning tasks. Finally, we show that Grand mitigates the issues of over-smoothing and overfitting, and its performance is married with robustness.",Article,https://static.aminer.cn/storage/pdf/arxiv/20/2005/2005.11079.pdf,5,feng2020graph,"graph neural networks,deep learning,random propagation strategy"
2023,Proceedings of the AAAI Conference on Artificial Intelligence,FedNP: Towards non-IID federated learning via federated neural propagation,"Xueyang Wu, Hengguan Huang, Youlong Ding, Hao Wang, Ye Wang, Qian Xu",Xueyang Wu,English,"Traditional federated learning (FL) algorithms, such as FedAvg, fail to handle non-iid data because they learn a global model by simply averaging biased local models that are trained on non-iid local data, therefore failing to model the global data distribution. In this paper, we present a novel Bayesian FL algorithm that successfully handles such a non-iid FL setting by enhancing the local training task with an auxiliary task that explicitly estimates the global data distribution. One key challenge in estimating the global data distribution is that the data are partitioned in FL, and therefore the ground-truth global data distribution is inaccessible. To address this challenge, we propose an expectation-propagation-inspired probabilistic neural network, dubbed federated neural propagation (FedNP), which efficiently estimates the global data distribution given non-iid data partitions. Our algorithm is sampling-free and end-to-end differentiable, can be applied with any conventional FL frameworks and learns richer global data representation. Experiments on both image classification tasks with synthetic non-iid image data partitions and real-world non-iid speech recognition tasks demonstrate that our framework effectively alleviates the performance deterioration caused by non-iid data.",Article,https://ojs.aaai.org/index.php/AAAI/article/view/26237,4,wu2023fednp,"federated learning,data distribution, federated neural propagation"
2021,Proceedings of the 29th ACM International Conference on Multimedia,SmartMeeting: Automatic meeting transcription and summarization for in-person conversations,"Yuanfeng Song, Di Jiang, Xuefang Zhao, Xiaoling Huang, Qian Xu, Raymond Chi-Wing Wong, Qiang Yang",Yuanfeng Song,English,"Meetings are a necessary part of the operations of any institution, whether they are held online or in-person. However, meeting transcription and summarization are always painful requirements since they involve tedious human effort. This drives the need for automatic meeting transcription and summarization (AMTS) systems. A successful AMTS system relies on systematic integration of multiple natural language processing (NLP) techniques, such as automatic speech recognition, speaker identification, and meeting summarization, which are traditionally developed separately and validated offline with standard datasets. In this demonstration, we provide a novel productive meeting tool named SmartMeeting, which enables users to automatically record, transcribe, summarize, and manage the information in an in-person meeting. SmartMeeting transcribes every word on the fly, enriches the transcript with speaker?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3474085.3478556,4,song2021smartmeeting," meeting transcription and summarization,natural language processing,speaker identification"
2021,Proceedings of the 29th ACM International Conference on Multimedia,L2rs: A learning-to-rescore mechanism for hybrid speech recognition,"Yuanfeng Song, Di Jiang, Xuefang Zhao, Qian Xu, Raymond Chi-Wing Wong, Lixin Fan, Qiang Yang",Yuanfeng Song,English,"This paper aims to advance the performance of industrial ASR systems by exploring a more effective method for N-best rescoring, a critical step that greatly affects the final recognition accuracy. Existing rescoring approaches suffer the following issues: (i) limited performance since they optimize an unnecessarily harder problem, namely predicting accurate grammatical legitimacy scores of the N-best hypotheses rather than directly predicting their partial orders regarding a specific acoustic input; (ii) hard to incorporate various information by advanced natural language processing (NLP) models such as BERT to achieve a comprehensive evaluation of each N-best candidate. To relieve the above drawbacks, we propose a simple yet effective mechanism, Learning-to-Rescore (L2RS), to empower ASR systems with state-of-the-art information retrieval (IR) techniques. Specifically, L2RS utilizes a wide range of textual?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3474085.3481542,3,song2021l2rs,"Learning-to-Rank, Automatic Speech Recognition, Information Retrieval, N-best Rescoring"
2022,Proceedings of the 30th ACM International Conference on Multimedia,A Platform for Deploying the TFE Ecosystem of Automatic Speech Recognition,"Yuanfeng Song, Rongzhong Lian, Yixin Chen, Di Jiang, Xuefang Zhao, Conghui Tan, Qian Xu, Raymond Chi-Wing Wong",Yuanfeng Song,English,"Since data regulations such as the European Union's General Data Protection Regulation (GDPR) have taken effect, the traditional two-step Automatic Speech Recognition (ASR) optimization strategy (i.e., training a one-size-fits-all model with vendor's centralized data and fine-tuning the model with clients' private data) has become infeasible. To meet these privacy requirements, TFE, a novel GDPR-compliant ASR ecosystem, has been proposed by us to incorporate transfer learning, federated learning, and evolutionary learning towards effective ASR model optimization. In this demonstration, we further design and implement a novel platform to promote the deployment and applicability of TFE. Our proposed platform allows enterprises to easily conduct the ASR optimization task using TFE across organizations.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3503161.3547731,3,song2022platform,"federated learning, evolutionary learning, speech recognition"
2021,Natural Language Processing and Chinese Computing: 10th CCF International?¡­,Memetic federated learning for biomedical natural language processing,"Xinya Zhou, Conghui Tan, Di Jiang, Bosen Zhang, Si Li, Yajing Xu, Qian Xu, Sheng Gao",Xinya Zhou,English," Privacy protection is an essential issue in biomedical natural language processing (BioNLP). Recently, some researchers apply federated learning (FL) in BioNLP to protect the privacy of biomedical data. However, their methods are only applicable for small NLP models, whose effectiveness is heavily limited in processing biomedical data. In this paper, we propose a novel memetic federated learning framework named Mem-Fed, which is tailored for federated learning of large-scale NLP models in the biomedical scenario. Experiments with large-scale BioNLP model on the public dataset show that the proposed framework significantly outperforms the state-of-the-art counterparts.",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-88483-3_4,2,zhou2021memetic,"Federated learning,Biomedical natural language processing,Memetic algorithm"
2020,Journal of Internet Technology,Attribute inference by link strength modeling in online social networks with user tags,"Ya Xiao, Zhijie Fan, Chengxiang Tan, Qian Xu, Wenye Zhu",Ya Xiao,English,"The link strength between two users in online social networks is generally latent and can not be observed directly. The strength is usually related to the interests, behaviors, posted texts, common friends, and common followings of two users. Most previous works have ignored the distinctions of the link strengths among different pairs of users, and some works simply classify the relationships into strong and weak instead of a particular value. Given the importance of link strength in link prediction or item recommendation system, in this paper, we propose a novel method for modeling the strength of links in social networks by jointly taking the common friends, common followings, user behaviors, and user tags into consideration. A new method to construct the tags for each user based on the semantics of open information is also presented. The attribute inference and tag prediction approach based on link strength is put forward and evaluated by the experiments on a real-world dataset, the inferred results prove the feasibility of the proposed model and demonstrate that the model substantially outperforms the compared methods.",Article,https://jit.ndhu.edu.tw/article/viewFile/2289/2303,2,xiao2020attribute,"Social networking, Link strength, Attribute inference, User behaviour, Tags"
2022,arXiv preprint arXiv:2206.10407,WrapperFL: A Model Agnostic Plug-in for Industrial Federated Learning,"Xueyang Wu, Shengqi Tan, Qian Xu, Qiang Yang",Xueyang Wu,English,"Federated learning, as a privacy-preserving collaborative machine learning paradigm, has been gaining more and more attention in the industry. With the huge rise in demand, there have been many federated learning platforms that allow federated participants to set up and build a federated model from scratch. However, exiting platforms are highly intrusive, complicated, and hard to integrate with built machine learning models. For many real-world businesses that already have mature serving models, existing federated learning platforms have high entry barriers and development costs. This paper presents a simple yet practical federated learning plug-in inspired by ensemble learning, dubbed WrapperFL, allowing participants to build/join a federated system with existing models at minimal costs. The WrapperFL works in a plug-and-play way by simply attaching to the input and output interfaces of an existing model, without the need of re-development, significantly reducing the overhead of manpower and resources. We verify our proposed method on diverse tasks under heterogeneous data distributions and heterogeneous models. The experimental results demonstrate that WrapperFL can be successfully applied to a wide range of applications under practical settings and improves the local model with federated learning at a low cost.",Article,https://arxiv.org/abs/2206.10407,1,wu2022wrapperfl,"federated learning, plug-in,plug-and-play"
2021,Journal of Intelligent & Fuzzy Systems,Heterogeneous identity trust management method based on risk assessment,"Wenye Zhu, Chengxiang Tan, Qian Xu, Ya Xiao",Wenye Zhu,English,"The cross-trust domain environment in which heterogeneous identity alliances are located often does not have a completely trusted centralized trust root, and different trust domains and entities also have specific security requirements. In view of the above problems, we believe that trust measurement of cross-domain identities based on risk assessment is an effective method to achieve decentralized proof of user identities in heterogeneous cyberspace. There are various risk assessment models. We choose the more mature attack graph theory in the existing research to apply to the new field of cross-trust domain management of heterogeneous identities. We propose an attribute attack graph evaluation model to evaluate cross-domain identities through risk measurement of attributes. In addition, heterogeneous identity alliances also have architectural risks, especially the risk of decentralized underlying structures. In?¡­",Article,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs189729,1,zhu2021heterogeneous,"Heterogeneous identity alliance, attribute attack graph, proof of identity, cyber security assessment, trust management"
2021,,EP-GAN: Unsupervised Federated Learning with Expectation-Propagation Prior GAN,"Xueyang Wu, Hengguan Huang, Hao Wang, Ye Wang, Qian Xu",Xueyang Wu,English,"Generative Adversarial Networks (GANs) are overwhelming in unsupervised learning tasks due to their expressive power in modeling fine-grained data distributions. However, it is challenging for GANs to model distributions of separate non-i.i.d. data partitions as it usually adopts an over-general prior, limiting its capability in capturing the latent structure of multiple data partitions and thus leading to mode collapse. In this paper, we present a new Bayesian GAN, dubbed expectation propagation prior GAN (EP-GAN), which addresses the above challenge of modeling non-i.i.d. federated data through imposing a partition-invariant prior distribution on a Bayesian GAN. Furthermore, unlike most existing algorithms for deep-learning-based EP inference that require numerical quadrature, here we propose a closed-form solution for each update step of EP, leading to a more efficient solution for federated data modeling. Experiments on both synthetic extremely non-i.i.d. image data partitions and realistic non-i.i.d. speech recognition tasks demonstrate that our framework effectively alleviates the performance deterioration caused by non-i.i.d. data.",Conference paper,https://openreview.net/forum?id=djwnKXz1B2,1,wu2021ep,"generative adversarial networks,federated learning"
2024,Proceedings of the 19th ACM Asia Conference on Computer and Communications?¡­,HQsFL: A Novel Training Strategy for Constructing High-performance and Quantum-safe Federated Learning,"Bo Yu, Huajie Shen, Qian Xu, Wei He, Wankui Mao, Qing Zhang, Fan Zhang",Bo Yu,English,"Federated Learning (FL) has attracted increasing attention from both academia and industry due to its merit of securely constructing AI models across multiple entities while preserving the privacy of local training data. However, recent research shows two persisting problems in FL that have yet to be solved: (1) limited practical adaptation of federated learning because of time-consuming conventional privacy-preserving methods, and (2) the absence of quantum-computing resistance in these methods. To address these problems, we propose a novel vertical federated learning strategy, HQsFL, which relies on Fully Homomorphic Encryption (FHE) and Matrix Vector Product basing on Coefficient Encoding. The proposed method can be widely applied to FL algorithms such as logistic regression and XGBoost, etc. We fully implement our approach and evaluate its utility and efficiency through extensive experiments?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3634737.3656285,0,yu2024hqsfl,"federated learning, fully homomorphic encryption, matrix vector multiplication, quantum-safe cryptography"
2024,IEEE Transactions on Knowledge and Data Engineering,FedCORE: Federated Learning for Cross-Organization Recommendation Ecosystem,"Zhitao Li, Xueyang Wu, Weike Pan, Youlong Ding, Zeheng Wu, Shengqi Tan, Qian Xu, Qiang Yang, Zhong Ming",Zhitao Li,English,"A recommendation system is of vital importance in delivering personalization services, which often brings continuous dual improvement in user experience and organization revenue. However, the data of one single organization may not be enough to build an accurate recommendation model for inactive or new cold-start users. Moreover, due to the recent regulatory restrictions on user privacy and data security, as well as the commercial conflicts, the raw data in different organizations cannot be merged to alleviate the scarcity issue in training a model. In order to learn users¡¯ preferences from such cross-silo data of different organizations and then provide recommendations to the cold-start users, we propose a novel federated learning framework, i.e., federated cross-organization recommendation ecosystem (FedCORE). Specifically, we first focus on the ecosystem problem of cross-organization federated?¡­",Article,https://ieeexplore.ieee.org/abstract/document/10443503/,0,li2024fedcore,"Cross-Organization recommendation, federated learning, data distribution"
